AudioMothCode,hour,,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,backupTime,hour
AM-10,5,5270,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190628_053000.WAV,GRABADOR-SDZG-AM-10,20190628_053000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 05:30,60.00046875,,Recorded at 05:30:00 28/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 3.8V.,AudioMoth 24CE97025B2BF198,2019:12:18 10:02:16-08:00,WAV,WAV,audio/x-wav,05:30:00 28/06/2019,5
AM-10,6,4126,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190620_065000.WAV,GRABADOR-SDZG-AM-10,20190620_065000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 06:50,60.00046875,,Recorded at 06:50:00 20/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.1V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:26:22-08:00,WAV,WAV,audio/x-wav,06:50:00 20/06/2019,6
AM-10,7,3842,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190618_073000.WAV,GRABADOR-SDZG-AM-10,20190618_073000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,18.06.2019 07:30,60.00046875,,Recorded at 07:30:00 18/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.2V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:17:30-08:00,WAV,WAV,audio/x-wav,07:30:00 18/06/2019,7
AM-10,8,4134,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190620_081000.WAV,GRABADOR-SDZG-AM-10,20190620_081000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 08:10,60.00046875,,Recorded at 08:10:00 20/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.1V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:26:37-08:00,WAV,WAV,audio/x-wav,08:10:00 20/06/2019,8
AM-10,9,5148,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190627_091000.WAV,GRABADOR-SDZG-AM-10,20190627_091000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,27.06.2019 09:10,60.00046875,,Recorded at 09:10:00 27/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 3.8V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:58:26-08:00,WAV,WAV,audio/x-wav,09:10:00 27/06/2019,9
AM-10,10,3286,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190614_105000.WAV,GRABADOR-SDZG-AM-10,20190614_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,14.06.2019 10:50,60.00046875,,Recorded at 10:50:00 14/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.4V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:00:08-08:00,WAV,WAV,audio/x-wav,10:50:00 14/06/2019,10
AM-10,11,4012,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190619_115000.WAV,GRABADOR-SDZG-AM-10,20190619_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 11:50,60.00046875,,Recorded at 11:50:00 19/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.2V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:22:47-08:00,WAV,WAV,audio/x-wav,11:50:00 19/06/2019,11
AM-10,12,3730,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190617_125000.WAV,GRABADOR-SDZG-AM-10,20190617_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 12:50,60.00046875,,Recorded at 12:50:00 17/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.3V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:14:01-08:00,WAV,WAV,audio/x-wav,12:50:00 17/06/2019,12
AM-10,13,4595,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190623_130000.WAV,GRABADOR-SDZG-AM-10,20190623_130000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 13:00,60.00046875,,Recorded at 13:00:00 23/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:41:03-08:00,WAV,WAV,audio/x-wav,13:00:00 23/06/2019,13
AM-10,14,3737,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190617_140000.WAV,GRABADOR-SDZG-AM-10,20190617_140000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,17.06.2019 14:00,60.00046875,,Recorded at 14:00:00 17/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.3V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:14:14-08:00,WAV,WAV,audio/x-wav,14:00:00 17/06/2019,14
AM-10,15,4754,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190624_153000.WAV,GRABADOR-SDZG-AM-10,20190624_153000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 15:30,60.00046875,,Recorded at 15:30:00 24/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:46:03-08:00,WAV,WAV,audio/x-wav,15:30:00 24/06/2019,15
AM-10,16,4902,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190625_161000.WAV,GRABADOR-SDZG-AM-10,20190625_161000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 16:10,60.00046875,,Recorded at 16:10:00 25/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:50:42-08:00,WAV,WAV,audio/x-wav,16:10:00 25/06/2019,16
AM-10,17,5487,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190629_174000.WAV,GRABADOR-SDZG-AM-10,20190629_174000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 17:40,60.00046875,,Recorded at 17:40:00 29/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 3.6V.,AudioMoth 24CE97025B2BF198,2019:12:18 08:44:57-08:00,WAV,WAV,audio/x-wav,17:40:00 29/06/2019,17
AM-10,18,3046,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190612_185000.WAV,GRABADOR-SDZG-AM-10,20190612_185000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12.06.2019 18:50,60.00046875,,Recorded at 18:50:00 12/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.5V.,AudioMoth 24CE97025B2BF198,2019:12:18 08:52:37-08:00,WAV,WAV,audio/x-wav,18:50:00 12/06/2019,18
AM-10,19,4919,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190625_190000.WAV,GRABADOR-SDZG-AM-10,20190625_190000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 19:00,60.00046875,,Recorded at 19:00:00 25/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 3.9V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:51:14-08:00,WAV,WAV,audio/x-wav,19:00:00 25/06/2019,19
AM-10,20,4066,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190619_205000.WAV,GRABADOR-SDZG-AM-10,20190619_205000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 20:50,60.00046875,,Recorded at 20:50:00 19/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.2V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:24:29-08:00,WAV,WAV,audio/x-wav,20:50:00 19/06/2019,20
AM-10,21,3492,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190615_211000.WAV,GRABADOR-SDZG-AM-10,20190615_211000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,15.06.2019 21:10,60.00046875,,Recorded at 21:10:00 15/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.4V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:06:34-08:00,WAV,WAV,audio/x-wav,21:10:00 15/06/2019,21
AM-10,22,4649,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190623_220000.WAV,GRABADOR-SDZG-AM-10,20190623_220000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,23.06.2019 22:00,60.00046875,,Recorded at 22:00:00 23/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.0V.,AudioMoth 24CE97025B2BF198,2019:12:18 09:42:45-08:00,WAV,WAV,audio/x-wav,22:00:00 23/06/2019,22
AM-10,23,3074,AM-10,24CE97025B2BF198,GRABADOR-SDZG-AM-10/20190612_233000.WAV,GRABADOR-SDZG-AM-10,20190612_233000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12.06.2019 23:30,60.00046875,,Recorded at 23:30:00 12/06/2019 (UTC) by AudioMoth 24CE97025B2BF198 at gain setting 2 while battery state was 4.5V.,AudioMoth 24CE97025B2BF198,2019:12:18 08:53:29-08:00,WAV,WAV,audio/x-wav,23:30:00 12/06/2019,23
